"Issue URL","Opened","Closed","Squad","Labels"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/120","2020-11-20 20:02:31","2020-11-20 20:05:56","No Squad","['bug']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/108","2020-11-13 21:55:03","2020-11-13 23:53:21","No Squad","['bug']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/64","2020-10-29 16:51:53","2020-10-29 19:25:18","No Squad","['bug']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/62","2020-10-29 16:02:43","2020-10-29 16:09:38","No Squad","['bug']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/42","2020-10-22 18:16:06","2020-10-22 18:27:57","No Squad","['bug']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/44","2020-10-22 18:46:11","2020-10-22 18:49:26","No Squad","['bug']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/40","2020-10-21 22:24:35","2020-11-05 19:39:41","No Squad","['medium']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/28","2020-10-21 18:36:44","2020-10-21 19:03:00","No Squad","['bug', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/3","2020-10-19 18:22:34","2020-10-21 12:58:07","No Squad","[]"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/32","2020-10-21 19:37:54","2020-11-09 07:06:30","No Squad","['large']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/110","2020-11-17 14:37:17","2020-11-23 03:27:13","No Squad","['large']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/124","2020-11-21 19:03:35","2020-11-23 03:26:12","No Squad","['large']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/100","2020-11-10 18:44:42","2020-11-21 22:43:58","No Squad","['large']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/107","2020-11-13 20:31:45","2020-11-21 02:29:35","No Squad","['good first issue', 'large']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/55","2020-10-28 18:53:28","2020-11-20 19:57:30","No Squad","['medium']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/115","2020-11-18 20:02:42","2020-11-19 20:42:51","No Squad","['small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/116","2020-11-18 20:04:05","2020-11-19 20:24:15","No Squad","['small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/111","2020-11-17 14:41:08","2020-11-19 18:01:21","No Squad","['bug']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/101","2020-11-10 18:46:37","2020-11-13 19:49:35","No Squad","['medium']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/104","2020-11-10 19:14:13","2020-11-13 18:08:32","No Squad","['bug', 'question']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/97","2020-11-09 06:47:03","2020-11-11 19:08:19","No Squad","['bug']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/87","2020-11-06 19:09:25","2020-11-09 05:07:20","No Squad","['bug', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/95","2020-11-08 21:48:37","2020-11-09 05:07:20","No Squad","['bug']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/89","2020-11-06 19:12:20","2020-11-08 21:56:13","No Squad","['bug', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/88","2020-11-06 19:11:41","2020-11-08 00:18:05","No Squad","['bug', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/39","2020-10-21 22:23:43","2020-11-07 18:00:22","No Squad","['medium']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/90","2020-11-06 19:12:47","2020-11-07 17:44:08","No Squad","['bug']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/84","2020-11-06 02:54:42","2020-11-06 03:55:14","No Squad","['bug', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/81","2020-11-06 01:07:34","2020-11-06 03:11:19","No Squad","['medium']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/82","2020-11-06 01:12:27","2020-11-06 03:10:34","No Squad","['bug']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/38","2020-10-21 22:23:07","2020-11-05 18:52:12","No Squad","['medium']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/7","2020-10-19 19:08:21","2020-11-05 00:42:36","No Squad","['question', 'medium']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/18","2020-10-19 19:36:11","2020-11-05 00:42:25","No Squad","['medium']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/77","2020-11-04 19:19:43","2020-11-04 21:39:30","No Squad","['bug']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/54","2020-10-27 16:53:02","2020-11-04 19:07:51","No Squad","['medium']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/73","2020-11-03 02:20:43","2020-11-03 19:05:19","No Squad","['bug', 'medium']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/17","2020-10-19 19:35:04","2020-11-03 02:02:30","No Squad","['documentation', 'question']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/67","2020-10-30 18:36:20","2020-11-03 03:53:25","No Squad","['duplicate']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/51","2020-10-23 18:21:30","2020-11-03 02:20:23","No Squad","['small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/49","2020-10-23 18:11:03","2020-11-03 02:09:13","No Squad","['documentation', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/56","2020-10-28 20:13:50","2020-11-03 02:09:06","No Squad","['documentation', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/60","2020-10-28 20:52:01","2020-11-03 02:02:38","No Squad","['documentation', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/59","2020-10-28 20:43:10","2020-11-03 02:02:23","No Squad","['documentation', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/58","2020-10-28 20:32:49","2020-11-03 02:02:16","No Squad","['documentation', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/72","2020-11-02 20:18:00","2020-11-03 02:02:09","No Squad","['documentation', 'medium']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/16","2020-10-19 19:34:03","2020-10-29 15:56:21","No Squad","['documentation', 'question']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/68","2020-10-30 19:11:29","2020-10-30 23:14:19","No Squad","['bug', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/57","2020-10-28 20:17:17","2020-10-29 15:56:21","No Squad","['documentation', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/53","2020-10-26 18:17:20","2020-10-29 15:56:21","No Squad","['bug', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/52","2020-10-23 18:21:53","2020-10-28 22:46:37","No Squad","['documentation', 'duplicate', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/50","2020-10-23 18:12:03","2020-10-28 20:12:04","No Squad","['documentation', 'duplicate', 'small']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/27","2020-10-21 18:16:50","2020-10-22 21:42:20","No Squad","['question']"
"https://api.github.com/repos/AgileAppstate/givecoco-the-caffeinated-pajama-bandits/issues/48","2020-10-22 21:48:58","2020-10-22 21:49:49","No Squad","['bug']"
