"Bugs per Month"
"Squad Name","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","01-2020","11-2019","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","01-2021","12-2019","11-2020","02-2021","03-2021","04-2021","05-2021","12-2020","06-2021","07-2021"
"Cross-platform",0,0,0,0,0,0,0,0,0,4,4,8,0,4,2,1,11,3,14,9,5,3,0,0,0,0,1,1,3,1
"Commerce",0,0,0,0,0,0,0,1,0,10,10,7,6,19,9,3,16,28,34,24,21,3,24,9,15,23,9,18,19,7
"Consumption Management",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,30,11
"Platform Operations",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,11,14,12,3,0,2,3,2,5,1,2,4,0
"Discovery & Account",0,0,0,0,0,2,0,0,0,1,2,3,0,2,0,0,0,7,12,9,7,3,2,6,8,5,8,6,15,5
"Entitlements & Registry",0,0,0,0,0,1,0,0,0,0,0,3,2,5,3,2,31,30,48,45,33,0,14,19,15,17,10,28,22,22
"Support Experience",0,0,0,0,0,0,0,0,0,2,2,0,1,11,8,5,12,11,12,7,11,5,4,5,6,7,2,2,5,5
"e2e test automation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Support Operations",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
"Operator & Metering",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,10,3,0,1,4,9,2,7,3,6,3
"Partner Experience",0,0,0,0,0,0,0,2,0,7,10,8,8,7,10,6,31,10,47,18,9,7,5,9,10,6,2,14,8,2
"Multicloud & Provisioning",0,0,0,0,0,0,0,0,0,6,1,2,4,22,4,7,30,38,35,22,2,0,5,13,21,17,5,3,18,2
"Dashboard",0,0,0,0,0,0,0,0,0,1,0,3,5,9,7,2,11,7,16,6,2,1,10,2,4,13,30,0,38,8
"No Squad",0,0,0,0,1,1,1,0,1,4,2,8,5,9,4,8,21,9,19,5,20,4,3,11,8,7,1,15,0,0
"Data Asset Offerings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,12,3,4,3,21,2,6
"Account & Catalog",0,0,0,0,1,6,5,0,2,2,6,5,5,14,4,4,30,29,58,26,21,1,16,17,14,16,2,20,0,1
"Onboarding Operations",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6,19,49,16,0,27,2,11,8,17,17,6,1
"Project Management Dashboard",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1
"Visual Design",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AdTech",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0
